Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,,01
Natural resources and conservation,,,,03
Architecture,,,,04
"Area, ethnic, and gender studies",,,,05
Communication/journalism,,,,09
Communication technologies,,,,10
Computer and information sciences,,,35.27%,11
Personal and culinary services,,,,12
Education,,,,13
Engineering,,,25.60%,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,,23
Liberal arts/general studies,,,,24
Library science,,,,25
Biological/life sciences,,,6.76%,26
Mathematics and statistics,,,7.73%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,0.48%,30
Parks and recreation,,,,31
Philosophy and religious studies,,,,38
Theology and religious vocations,,,,39
Physical sciences,,,24.15%,40
Science technologies,,,,41
Psychology,,,,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,,50
Health professions and related programs,,,,51
Business/marketing,,,,52
History,,,,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
