Category,Bachelor's,CIP Code
Agriculture,,1
Natural resources and conservation,1.4%,3
Architecture,0.9%,4
"Area, ethnic, and gender studies",0.9%,5
Communication/journalism,2.7%,9
Communication technologies,,10
Computer and information sciences,14.3%,11
Personal and culinary services,,12
Education,1.0%,13
Engineering,15.3%,14
Engineering technologies,,15
"Foreign languages, literatures, and linguistics",1.7%,16
Family and consumer sciences,,19
Law/legal studies,,22
English,1.5%,23
Liberal arts/general studies,0.9%,24
Library science,,25
Biological/life sciences,8.7%,26
Mathematics and statistics,2.9%,27
Military science and military technologies,,28 & 29
Interdisciplinary studies,3.5%,30
Parks and recreation,3.5%,31
Philosophy and religious studies,0.4%,38
Theology and religious vocations,,39
Physical sciences,1.5%,40
Science technologies,,41
Psychology,8.4%,42
"Homeland Security, law enforcement, firefighting, and protective services",,43
Public administration and social services,1.0%,44
Social sciences,11.9%,45
Construction trades,,46
Mechanic and repair technologies,,47
Precision production,,48
Transportation and materials moving,,49
Visual and performing arts,4.8%,50
Health professions and related programs,3.7%,51
Business/marketing,8.1%,52
History,1.2%,54
Other,,-
TOTAL,100%,
