Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2020 Categories to Include
Agriculture,,,,01
Natural resources and conservation,,,0.8,03
Architecture,,,0.9,04
"Area, ethnic, and gender studies",,,0.4,05
Communication/journalism,,,2.9,09
Communication technologies,,,,10
Computer and information sciences,,,8.8,11
Personal and culinary services,,,,12
Education,,,0.4,13
Engineering,,,12.5,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,0.7,16
Family and consumer sciences,,,0.9,19
Law/legal studies,,,,22
English,,,1,23
Liberal arts/general studies,,,0.1,24
Library science,,,,25
Biological/life sciences,,,18.2,26
Mathematics and statistics,,,4.4,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,16,30
Parks and recreation,,,,31
Philosophy and religious studies,,,0.5,38
Theology and religious vocations,,,,39
Physical sciences,,,4.9,40
Science technologies,,,,41
Psychology,,,6.3,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,12.8,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,2.3,50
Health professions and related programs,,,3.2,51
Business/marketing,,,1.3,52
History,,,0.7,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100%,
