Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,,01
Natural resources and conservation,,,3%,03
Architecture,,,,04
"Area, ethnic, and gender studies",,,6%,05
Communication/journalism,,,,09
Communication technologies,,,,10
Computer and information sciences,,,8%,11
Personal and culinary services,,,,12
Education,,,,13
Engineering,,,8%,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,3%,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,4%,23
Liberal arts/general studies,,,,24
Library science,,,,25
Biological/life sciences,,,10%,26
Mathematics and statistics,,,7%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,2%,30
Parks and recreation,,,,31
Philosophy and religious studies,,,2%,38
Theology and religious vocations,,,,39
Physical sciences,,,3%,40
Science technologies,,,,41
Psychology,,,4%,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,32%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,4%,50
Health professions and related programs,,,,51
Business/marketing,,,,52
History,,,4%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100%,
