Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,1%,,3%,01
Natural resources and conservation,,,0%,03
Architecture,,,1%,04
"Area, ethnic, and gender studies",0%,,0%,05
Communication/journalism,6%,,8%,09
Communication technologies,,,,10
Computer and information sciences,,,3%,11
Personal and culinary services,,,,12
Education,36%,,3%,13
Engineering,,,10%,14
Engineering technologies,4%,,1%,15
"Foreign languages, literatures, and linguistics",,,1%,16
Family and consumer sciences,4%,,3%,19
Law/legal studies,,,,22
English,2%,,2%,23
Liberal arts/general studies,0%,,2%,24
Library science,,,,25
Biological/life sciences,1%,,9%,26
Mathematics and statistics,0%,,1%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,2%,,1%,30
Parks and recreation,,,2%,31
Philosophy and religious studies,,,0%,38
Theology and religious vocations,,,,39
Physical sciences,1%,,2%,40
Science technologies,,,,41
Psychology,,,8%,42
"Homeland Security, law enforcement, firefighting,",0%,,,43
Public administration and social services,,,0%,44
Social sciences,,,10%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,2%,,1%,50
Health professions and related programs,7%,,7%,51
Business/marketing,34%,,21%,52
History,,,1%,54
Other,,,,
TOTAL (should = 100%),100.00%,0.00%,100.00%,
