Category (UM-Ann Arbor grants Bachelor's degrees; no undergraduate Diploma/Certificates or Associate degrees),Bachelor’s degrees (First majors),,CIP 2020 Categories to Include
Agriculture,,,1
Natural resources and conservation,92,1%,3
Architecture,52,1%,4
"Area, ethnic, and gender studies",65,1%,5
Communication/journalism,217,3%,9
Communication technologies,,,10
Computer and information sciences,"1,156",14%,11
Personal and culinary services,,,12
Education,84,1%,13
Engineering,"1,192",15%,14
Engineering technologies,4,0%,15
"Foreign languages, literatures, and linguistics",124,2%,16
Family and consumer sciences,,,19
Law/legal studies,,,22
English,95,1%,23
Liberal arts/general studies,52,1%,24
Library science,,,25
Biological/life sciences,774,10%,26
Mathematics and statistics,236,3%,27
Military science and military technologies,,,28 & 29
Interdisciplinary studies,369,5%,30
Parks and recreation,263,3%,31
Philosophy and religious studies,29,0%,38
Theology and religious vocations,,,39
Physical sciences,150,2%,40
Science technologies,,,41
Psychology,638,8%,42
"Homeland Security, law enforcement, firefighting, and protective services",,,43
Public administration and social services,81,1%,44
Social sciences,862,11%,45
Construction trades,,,46
Mechanic and repair technologies,,,47
Precision production,,,48
Transportation and materials moving,,,49
Visual and performing arts,395,5%,50
Health professions and related programs,363,5%,51
Business/marketing,637,8%,52
History,91,1%,54
Other,,,-
TOTAL,"8,021",100%,
