AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
"Ann Arbor, MI",All Occupations,total,191010,1.8,1000,1,23.59,49070,4.1,8.86,11.86,18.31,28.99,43.37,18420,24670,38090,60290,90200,,
"Ann Arbor, MI",Management Occupations,major,8220,5.6,43.009,0.89,50.48,105010,2.8,21.53,31.97,44.65,63.3,86.14,44790,66500,92870,131670,179160,,
"Ann Arbor, MI",Chief Executives,,360,6.8,1.899,0.91,86.81,180570,4.4,36.83,57.67,83.39,#,#,76600,119950,173460,#,#,,
"Ann Arbor, MI",General and Operations Managers,,1910,6.8,9.997,0.71,50.08,104170,2.4,18.69,28.78,44.88,64.73,87.5,38860,59860,93350,134630,182000,,
"Ann Arbor, MI",Legislators,,80,19.7,0.403,0.83,*,41070,9.5,*,*,*,*,*,16400,17320,18850,55810,84450,True,
"Ann Arbor, MI",Marketing Managers,,190,27.1,0.983,0.75,51.06,106200,9.9,30.28,32.91,37.32,59.27,#,62990,68450,77630,123280,#,,
"Ann Arbor, MI",Sales Managers,,330,13.1,1.728,0.68,51.6,107330,9.7,18.73,27.88,45,67.58,#,38970,58000,93590,140570,#,,
"Ann Arbor, MI",Public Relations and Fundraising Managers,,140,4.1,0.723,1.74,53.62,111530,6.8,31.07,37.51,47.32,61.59,84.89,64620,78020,98440,128110,176580,,
"Ann Arbor, MI",Administrative Services Managers,,480,2.7,2.528,1.3,40.11,83430,2.6,24.33,29.16,36,45.36,59.75,50600,60660,74880,94340,124280,,
"Ann Arbor, MI",Computer and Information Systems Managers,,490,11.3,2.545,1.09,52.05,108260,2.9,33.94,40.72,49.6,58.74,74.11,70600,84700,103170,122180,154150,,
"Ann Arbor, MI",Financial Managers,,550,16.7,2.905,0.78,48.63,101150,2.5,27.19,34.88,45.52,57.07,74.33,56560,72550,94670,118700,154600,,
"Ann Arbor, MI",Industrial Production Managers,,230,15.6,1.208,1.02,52.31,108800,3.6,29.86,39.06,50.35,63.12,79.5,62110,81250,104720,131290,165360,,
"Ann Arbor, MI",Purchasing Managers,,80,31.6,0.41,0.78,43.11,89660,4.5,21.64,33.48,42.53,52.64,66.78,45010,69640,88450,109480,138900,,
"Ann Arbor, MI","Transportation, Storage, and Distribution Managers",,**,**,**,**,39.86,82900,9,24.54,26.72,35.19,47.86,58.6,51040,55580,73200,99550,121890,,
"Ann Arbor, MI",Compensation and Benefits Managers,,40,12.7,0.197,1.03,41.52,86360,4.7,27.48,32.54,40.1,50.59,59.51,57160,67680,83400,105230,123780,,
"Ann Arbor, MI",Human Resources Managers,,110,13.7,0.593,0.93,49.8,103590,4.5,29.86,35.17,45.56,56.03,73.18,62100,73150,94760,116530,152210,,
"Ann Arbor, MI",Training and Development Managers,,40,21.3,0.192,0.91,52.96,110150,12.1,29.39,33.47,39.99,77.14,#,61140,69620,83190,160450,#,,
"Ann Arbor, MI",Construction Managers,,160,20.6,0.859,0.57,56.55,117630,7.6,29.13,33.9,55.69,77.7,89.07,60590,70510,115830,161620,185260,,
"Ann Arbor, MI","Education Administrators, Preschool and Childcare Center/Program",,40,14.9,0.231,0.6,21.7,45140,5.1,15.05,17.09,21.14,25.77,28.59,31310,35550,43980,53610,59460,,
"Ann Arbor, MI","Education Administrators, Elementary and Secondary School",,270,9.5,1.422,0.82,*,88080,5.3,*,*,*,*,*,46600,75020,87870,107020,132790,True,
"Ann Arbor, MI","Education Administrators, Postsecondary",,570,11.5,2.998,3.39,70.04,145690,17.1,33.44,43.02,59.46,88.98,#,69560,89480,123680,185080,#,,
"Ann Arbor, MI",Architectural and Engineering Managers,,280,22.5,1.484,1.03,62.57,130130,2.2,42.22,53.2,64,71.33,81.22,87820,110650,133130,148370,168940,,
"Ann Arbor, MI",Food Service Managers,,270,10.6,1.425,0.99,30.35,63120,11.9,12.69,18.5,26.72,37.15,57.3,26400,38480,55570,77270,119180,,
"Ann Arbor, MI",Medical and Health Services Managers,,470,5.1,2.485,1.11,48.62,101140,3.7,26.79,34.66,43.09,56.96,77.35,55730,72080,89630,118470,160890,,
