AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
"Ann Arbor, MI",All Occupations,total,208320,3,1000,1,28.46,59200,2.3,11.26,14.44,22.71,35.91,51.94,23420,30030,47230,74700,108020,,
"Ann Arbor, MI",Management Occupations,major,11280,5,54.158,0.95,61.42,127760,1.9,28.5,39.73,55.14,74.09,#,59280,82640,114690,154110,#,,
"Ann Arbor, MI",Chief Executives,detailed,130,14.9,0.619,0.43,111.81,232570,8.1,34.58,61.32,#,#,#,71920,127530,#,#,#,,
"Ann Arbor, MI",General and Operations Managers,detailed,3050,7.2,14.626,0.87,68.81,143130,3.7,23.78,35.07,57.9,89.32,#,49460,72940,120440,185780,#,,
"Ann Arbor, MI",Legislators,detailed,50,10.9,0.251,0.68,*,38730,9.3,*,*,*,*,*,20080,20090,20130,50130,104680,True,
"Ann Arbor, MI",Advertising and Promotions Managers,detailed,30,17.2,0.154,0.95,60.34,125510,12.8,31.82,38.5,51.02,66.08,#,66180,80070,106130,137450,#,,
"Ann Arbor, MI",Marketing Managers,detailed,240,16.9,1.144,0.59,61.92,128780,3.3,37.43,49.62,58.88,70.41,87.34,77850,103220,122480,146460,181660,,
"Ann Arbor, MI",Sales Managers,detailed,410,12.4,1.976,0.7,64.38,133920,3.7,30.34,44.37,59.74,80.32,#,63100,92300,124260,167060,#,,
"Ann Arbor, MI",Public Relations and Fundraising Managers,detailed,250,3.3,1.178,2.02,63.55,132180,3.2,36.63,44.88,58.46,78.88,98.31,76200,93340,121590,164080,204480,,
"Ann Arbor, MI",Administrative Services and Facilities Managers,detailed,480,3.7,2.298,1.04,49.19,102310,2.2,31.06,38.58,47.63,58.63,70.4,64610,80240,99070,121950,146430,,
"Ann Arbor, MI",Computer and Information Systems Managers,detailed,890,13.2,4.258,1.3,65.11,135420,2.5,40.09,50.83,62.03,76.46,94.07,83390,105720,129030,159030,195660,,
"Ann Arbor, MI",Financial Managers,detailed,730,11.9,3.518,0.75,65.04,135280,2.7,36.21,45.13,57.7,78.35,#,75320,93870,120010,162980,#,,
"Ann Arbor, MI",Industrial Production Managers,detailed,280,14.3,1.326,1.03,60.68,126210,3,36.4,47.32,60.39,74.13,86.45,75710,98430,125610,154190,179820,,
"Ann Arbor, MI",Purchasing Managers,detailed,90,20.4,0.427,0.84,60.19,125200,2.3,39.97,49.84,59.85,69.85,86.41,83140,103670,124500,145280,179720,,
"Ann Arbor, MI","Transportation, Storage, and Distribution Managers",detailed,120,27.1,0.594,0.63,57.16,118880,4.2,34.95,44.74,54.27,67.74,80.68,72690,93050,112880,140900,167810,,
"Ann Arbor, MI",Human Resources Managers,detailed,180,11.7,0.887,0.79,59.77,124320,2.5,33.08,45.53,58.36,74.03,89.3,68800,94710,121380,153990,185740,,
"Ann Arbor, MI",Training and Development Managers,detailed,50,20.6,0.221,0.8,55.86,116180,5.7,38.65,44.4,51.38,64.05,79.24,80380,92360,106860,133220,164810,,
"Ann Arbor, MI",Construction Managers,detailed,140,12.9,0.691,0.34,55.31,115040,3.7,33.08,44.09,54.05,63.73,85,68810,91700,112420,132560,176790,,
"Ann Arbor, MI","Education and Childcare Administrators, Preschool and Daycare",detailed,110,34.9,0.511,1.53,30.47,63380,7,20.67,25.05,32.14,36.52,39.12,43000,52110,66850,75960,81380,,
"Ann Arbor, MI","Education Administrators, Kindergarten through Secondary",detailed,230,9.1,1.081,0.57,*,101150,4.1,*,*,*,*,*,69480,82480,98690,117260,133780,True,
"Ann Arbor, MI","Education Administrators, Postsecondary",detailed,660,9.8,3.161,3.12,68.37,142200,7.5,35.13,43.26,56.87,82.35,#,73070,89980,118290,171290,#,,
"Ann Arbor, MI","Education Administrators, All Other",detailed,**,**,**,**,34.48,71720,8,17.91,23.5,35.96,44.85,49.84,37250,48890,74800,93290,103660,,
"Ann Arbor, MI",Architectural and Engineering Managers,detailed,**,**,**,**,67.86,141150,1.8,50.85,56.5,66.28,79.16,91.57,105760,117520,137870,164660,190470,,
"Ann Arbor, MI",Food Service Managers,detailed,200,27.2,0.937,0.66,35.89,74650,6,22.05,27.08,30.72,43.05,61.76,45870,56320,63890,89550,128450,,
"Ann Arbor, MI",Medical and Health Services Managers,detailed,870,9.8,4.165,1.44,56.4,117310,3.9,33.68,40.9,53.15,68,81.04,70060,85070,110550,141440,168560,,
"Ann Arbor, MI",Natural Sciences Managers,detailed,270,8.4,1.273,2.33,68.7,142900,5.5,43.09,49.19,61.45,78.79,#,89620,102320,127810,163890,#,,
"Ann Arbor, MI","Property, Real Estate, and Community Association Managers",detailed,**,**,**,**,36.01,74900,6.4,21.16,26.69,34.04,40.68,50.29,44020,55510,70800,84610,104600,,
"Ann Arbor, MI",Social and Community Service Managers,detailed,260,12.2,1.271,1.13,36.55,76020,3.8,23.03,27.81,34.35,42.06,55.72,47910,57850,71450,87490,115910,,
"Ann Arbor, MI","Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,330,10,1.585,0.47,54.39,113130,2.4,31.63,42.02,53.19,66.24,79.57,65800,87400,110630,137780,165510,,
"Ann Arbor, MI",Business and Financial Operations Occupations,major,12510,4.1,60.051,1,36.3,75490,1.6,20.06,26.17,33.73,44.12,54.37,41730,54440,70160,91770,113080,,
"Ann Arbor, MI",Buyers and Purchasing Agents,detailed,600,10,2.896,0.96,29.87,62120,2.6,18.37,22.21,27.89,35.5,43.59,38220,46200,58010,73850,90670,,
"Ann Arbor, MI","Claims Adjusters, Examiners, and Investigators",detailed,40,33.7,0.187,0.09,35.97,74810,2.3,20.11,28.33,38.3,42.81,51.37,41830,58930,79660,89040,106860,,
"Ann Arbor, MI",Compliance Officers,detailed,200,14.4,0.958,0.41,36.94,76840,2.9,24.95,28.31,34.01,45.83,54.58,51900,58880,70730,95330,113530,,
"Ann Arbor, MI",Cost Estimators,detailed,140,17.2,0.682,0.48,30.68,63810,3.9,17.74,22.7,30.29,37.92,45.49,36900,47210,63010,78870,94610,,
"Ann Arbor, MI",Human Resources Specialists,detailed,1190,10.9,5.689,1.22,35.1,73010,2,21.6,27.21,33.61,41.49,52.21,44930,56600,69900,86300,108600,,
"Ann Arbor, MI",Labor Relations Specialists,detailed,150,27.7,0.724,1.44,38.66,80420,4.9,26.19,29.46,36.35,49.11,56.41,54480,61270,75600,102140,117320,,
"Ann Arbor, MI",Logisticians,detailed,390,35.2,1.887,1.42,40.23,83690,2.4,25.43,29.8,41.73,49.16,58.32,52900,61980,86810,102250,121300,,
"Ann Arbor, MI",Management Analysts,detailed,1180,7.1,5.648,1.07,46.97,97690,4.1,24.93,33.34,42.42,52.98,77.5,51850,69340,88230,110190,161200,,
"Ann Arbor, MI","Meeting, Convention, and Event Planners",detailed,230,12.5,1.112,1.41,25.27,52570,3.3,16.56,19.58,23.93,29.91,37.48,34440,40720,49770,62220,77960,,
"Ann Arbor, MI",Fundraisers,detailed,500,4.3,2.378,4.03,32,66560,2.8,11.61,21.73,29.93,42.84,52.08,24150,45200,62250,89110,108330,,
"Ann Arbor, MI","Compensation, Benefits, and Job Analysis Specialists",detailed,80,17.1,0.396,0.63,35.92,74710,3.8,22.9,27.19,34.74,42.97,53.11,47640,56560,72270,89380,110460,,
"Ann Arbor, MI",Training and Development Specialists,detailed,320,9.2,1.549,0.68,30.28,62970,4.7,15.95,23.91,29.58,36.81,44.77,33180,49740,61530,76570,93130,,
"Ann Arbor, MI",Market Research Analysts and Marketing Specialists,detailed,1310,13.5,6.311,1.27,33.39,69450,2.9,16.85,23.82,31.33,41.22,51.07,35040,49550,65170,85730,106230,,
"Ann Arbor, MI","Project Management Specialists and Business Operations Specialists, All Other",detailed,3340,4.8,16.019,1.54,36.37,75660,2.3,19.12,26.58,34.12,44.6,54.85,39770,55290,70970,92770,114080,,
