AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
West Central-Southwest New Hampshire nonmetropolitan area,All Occupations,total,63360,2,1000,1,24.02,49950,5.1,9.4,12.64,18.19,28.36,43.32,19560,26290,37830,58990,90110,,
West Central-Southwest New Hampshire nonmetropolitan area,Management Occupations,major,3470,3.8,54.693,1.09,53.13,110510,3.4,25.16,32.51,45.43,63.72,#,52330,67630,94480,132540,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Chief Executives,detailed,110,18.9,1.673,0.97,97.31,202400,7,37.16,65.89,#,#,#,77290,137050,#,#,#,,
West Central-Southwest New Hampshire nonmetropolitan area,General and Operations Managers,detailed,720,8.5,11.333,0.73,57.41,119400,4.4,25.54,31.54,45.26,72.29,#,53130,65610,94140,150360,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Marketing Managers,detailed,60,11.5,0.908,0.65,58.42,121500,5.8,28.36,36.68,53.96,82.1,#,59000,76300,112230,170770,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Sales Managers,detailed,70,38.7,1.072,0.41,50.84,105740,9.6,32.69,35.53,39.86,59.42,84.92,68000,73900,82910,123590,176630,,
West Central-Southwest New Hampshire nonmetropolitan area,Public Relations and Fundraising Managers,detailed,100,6.3,1.61,3.68,59.77,124330,5.6,33.31,41.34,53.69,68.96,#,69280,85990,111670,143440,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Administrative Services Managers,detailed,80,17.4,1.338,0.68,48.63,101140,5.5,25.92,30.98,43.08,59.36,83.13,53910,64450,89600,123470,172910,,
West Central-Southwest New Hampshire nonmetropolitan area,Computer and Information Systems Managers,detailed,150,8.8,2.402,0.97,62.81,130640,4.2,40.96,50.34,57.96,70.37,#,85200,104710,120550,146360,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Financial Managers,detailed,350,10,5.486,1.42,54.88,114160,6.2,25.77,33.09,51.33,66.56,#,53600,68830,106770,138440,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Industrial Production Managers,detailed,50,14.1,0.756,0.62,50.2,104420,2.2,39.88,43.44,49.33,57.37,66.45,82950,90360,102610,119330,138210,,
West Central-Southwest New Hampshire nonmetropolitan area,Human Resources Managers,detailed,50,8.3,0.731,0.82,64.39,133940,7.7,39.53,44.51,55.46,69.95,#,82210,92570,115360,145500,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Construction Managers,detailed,70,36.9,1.105,0.64,46.18,96040,7.8,30.5,34.75,45.78,57.19,62.37,63430,72270,95220,118950,129720,,
