AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
"Los Angeles-Long Beach-Anaheim, CA",All Occupations,total,6047050,0.3,1000,1,26.94,56030,0.6,10.72,12.33,19.13,32.9,52.4,22310,25640,39800,68440,109000,,
"Los Angeles-Long Beach-Anaheim, CA",Management Occupations,major,337700,1.1,55.845,1.09,63.33,131740,0.6,24.03,35.74,54.81,79.29,#,49970,74330,114010,164920,#,,
"Los Angeles-Long Beach-Anaheim, CA",Chief Executives,detailed,10620,2.8,1.756,1.19,113.81,236730,1.5,48.57,77.49,#,#,#,101040,161190,#,#,#,,
"Los Angeles-Long Beach-Anaheim, CA",General and Operations Managers,detailed,96170,1.8,15.903,1.02,67.77,140970,1,24.63,35.96,55.58,88.13,#,51230,74790,115600,183310,#,,
"Los Angeles-Long Beach-Anaheim, CA",Legislators,detailed,680,6.5,0.112,0.31,*,72510,4.2,*,*,*,*,*,37410,49260,63150,85040,120100,True,
"Los Angeles-Long Beach-Anaheim, CA",Advertising and Promotions Managers,detailed,1280,7.1,0.211,1.07,59.94,124680,3.9,26.1,40.82,53.43,68.4,#,54300,84900,111130,142270,#,,
"Los Angeles-Long Beach-Anaheim, CA",Marketing Managers,detailed,10440,3.4,1.727,1.12,73.08,152000,1.2,34.8,47.02,67.03,90.61,#,72390,97800,139430,188470,#,,
"Los Angeles-Long Beach-Anaheim, CA",Sales Managers,detailed,27920,2.8,4.618,1.77,63.38,131830,1.6,21.93,33.03,54.15,81.4,#,45620,68700,112640,169320,#,,
"Los Angeles-Long Beach-Anaheim, CA",Public Relations and Fundraising Managers,detailed,2490,7,0.411,0.87,67.72,140860,2.2,34.61,46.79,62.04,78.74,#,71980,97330,129040,163780,#,,
"Los Angeles-Long Beach-Anaheim, CA",Administrative Services Managers,detailed,15520,2.8,2.567,1.35,54.79,113950,1.3,30.04,37.39,50.95,65.62,83.56,62480,77780,105980,136490,173810,,
"Los Angeles-Long Beach-Anaheim, CA",Computer and Information Systems Managers,detailed,15460,3.1,2.557,1,77.22,160620,1,44.41,58.66,73.02,90.02,#,92360,122020,151880,187240,#,,
"Los Angeles-Long Beach-Anaheim, CA",Financial Managers,detailed,27690,3.8,4.579,1.15,75.67,157400,1.5,36.09,46.96,66.37,93.67,#,75070,97690,138040,194830,#,,
"Los Angeles-Long Beach-Anaheim, CA",Industrial Production Managers,detailed,7340,3.3,1.213,1.01,56.41,117330,1.5,27.82,36.56,50.79,68.12,91.03,57860,76040,105650,141690,189350,,
"Los Angeles-Long Beach-Anaheim, CA",Purchasing Managers,detailed,3130,5.6,0.518,1.05,62.37,129720,3,31.22,44.11,60.44,76.43,94.67,64930,91750,125710,158970,196920,,
