PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,total,5282160,0.5,1000,1,25,51990,0.6,9.01,11.32,18.24,31.8,48.69,18730,23550,37940,66150,101280,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-0000,Management Occupations,major,299580,1.2,56.715,1.16,59.4,123550,0.6,25.37,35.8,52.27,73.6,#,52770,74460,108730,153090,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1011,Chief Executives,detailed,10900,5.9,2.064,1.05,102.59,213390,2.6,51.73,74.63,#,#,#,107600,155220,#,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1021,General and Operations Managers,detailed,92890,1.6,17.585,1.21,62.88,130790,0.9,26.03,35.44,53.42,81.68,#,54150,73710,111120,169880,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1031,Legislators,detailed,440,6.3,0.084,0.19,*,58010,4.2,*,*,*,*,*,34840,42470,55490,76300,86840,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2011,Advertising and Promotions Managers,detailed,1880,15.4,0.357,1.63,62.86,130760,4.9,29.4,36.56,57.15,72.36,#,61140,76040,118870,150500,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2021,Marketing Managers,detailed,11010,5.5,2.084,1.58,66.36,138020,1.4,33.12,46.34,62.31,80.5,#,68890,96390,129600,167430,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2022,Sales Managers,detailed,23270,3.9,4.405,1.66,61.82,128590,1.9,25.65,35.93,54.98,79.72,#,53350,74740,114370,165820,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2031,Public Relations and Fundraising Managers,detailed,2480,7,0.47,1.14,56.48,117480,4.9,30.74,36.58,45.39,66.82,#,63930,76100,94410,138990,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3011,Administrative Services Managers,detailed,13340,2.6,2.525,1.25,47.8,99430,1.1,26.73,33.92,43.59,56.95,72.32,55590,70560,90680,118450,150420,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3021,Computer and Information Systems Managers,detailed,13290,3.3,2.517,1.06,66.03,137330,0.9,39.74,50.37,64.03,77.89,#,82670,104770,133180,162010,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3031,Financial Managers,detailed,26810,2.8,5.075,1.36,68.73,142960,1.6,34.7,45.51,61.44,84.46,#,72180,94650,127800,175680,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3051,Industrial Production Managers,detailed,7080,3.8,1.34,1.09,48.7,101300,1.5,26.7,34,44.97,58.16,74.68,55530,70710,93540,120970,155340,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3061,Purchasing Managers,detailed,3090,4.4,0.586,1.1,55.63,115700,2.9,30.14,38.8,51.06,67.31,87.25,62680,80690,106210,140010,181490,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,4630,5.9,0.877,1.16,42.92,89270,1.5,25.82,32.04,39.93,50.66,64.74,53700,66650,83050,105370,134660,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3111,Compensation and Benefits Managers,detailed,850,9.6,0.161,1.05,54.97,114330,1.9,30.76,38.51,52.78,67.66,84.12,63980,80110,109780,140740,174960,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3121,Human Resources Managers,detailed,4650,3.9,0.879,1.17,57.11,118780,1.4,31.42,41.11,52.92,67.97,87.9,65360,85500,110070,141370,182840,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3131,Training and Development Managers,detailed,1010,5.5,0.191,0.91,56.79,118120,3,31.76,41.82,53.19,66.31,86.32,66050,86980,110630,137920,179540,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9021,Construction Managers,detailed,7010,5.3,1.328,0.83,50.74,105540,1.5,29.67,37.91,47.93,61.11,75.18,61700,78860,99690,127110,156370,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,2150,7.2,0.406,1.09,27.3,56780,3.9,15.53,19.04,25.71,33.07,38.68,32300,39610,53480,68790,80450,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,6820,5.6,1.291,0.74,*,104850,1.2,*,*,*,*,*,78740,92830,106290,117920,136820,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9033,"Education Administrators, Postsecondary",detailed,4460,5.8,0.844,0.89,48.06,99960,2,24.35,31.82,43.52,59.77,76.34,50650,66180,90530,124310,158780,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9039,"Education Administrators, All Other",detailed,1320,16.9,0.249,1.11,45.51,94650,3.5,20.8,30.66,46.66,57.53,68.17,43260,63760,97050,119650,141800,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9041,Architectural and Engineering Managers,detailed,10320,5.6,1.954,1.36,72.33,150450,2.1,42.38,54.88,69.41,85.28,#,88140,114150,144370,177390,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9051,Food Service Managers,detailed,9910,5.5,1.877,1.29,25.28,52580,2.4,15.83,18.58,22.16,29.08,39.94,32920,38650,46100,60490,83070,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9061,Funeral Service Managers,detailed,170,16.1,0.033,0.47,44.31,92170,19.5,21.08,26.18,33.61,43.49,#,43850,54450,69910,90460,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9081,Lodging Managers,detailed,1210,13.6,0.229,1,27.52,57250,4.4,15.98,18.38,24.17,31.24,43.46,33230,38230,50270,64980,90400,,
