PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,total,5209180,0.5,1000,1,24.75,51480,0.7,9.01,11.3,18.08,31.2,47.92,18740,23510,37620,64900,99680,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-0000,Management Occupations,major,298600,1.4,57.322,1.19,59.27,123290,1.1,25.19,35.71,52.19,73.35,#,52400,74270,108560,152570,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1011,Chief Executives,,12280,4.4,2.357,1.13,103.47,215220,3.4,53.78,76.22,#,#,#,111870,158530,#,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1021,General and Operations Managers,,91050,1.7,17.479,1.24,63.62,132330,1,26.8,36.5,54.5,81.91,#,55750,75930,113370,170380,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1031,Legislators,,560,5,0.108,0.22,*,60400,5.9,*,*,*,*,*,35740,42710,57150,81280,91100,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2011,Advertising and Promotions Managers,,1820,9.6,0.35,1.46,56.7,117940,5,26.95,34.59,47.83,69.28,#,56060,71960,99480,144100,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2021,Marketing Managers,,11100,4.2,2.131,1.62,64.84,134870,1.6,31,44.1,60.06,79.17,#,64480,91720,124930,164670,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2022,Sales Managers,,22120,3.7,4.247,1.66,60.93,126730,1.9,26.31,36.13,53.37,77.23,#,54720,75160,111010,160630,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2031,Public Relations and Fundraising Managers,,2500,9.3,0.479,1.16,56.32,117140,4.8,30.49,36.38,47.24,65.71,#,63410,75660,98260,136680,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3011,Administrative Services Managers,,12480,2.8,2.395,1.23,47.47,98730,1.2,25.94,33.99,43.79,56.86,71.37,53950,70690,91080,118280,148440,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3021,Computer and Information Systems Managers,,13500,4.6,2.591,1.1,65.05,135300,1.2,38.39,49.88,63.05,76.29,#,79850,103760,131130,158670,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3031,Financial Managers,,25900,2.3,4.971,1.33,66.44,138200,1.3,33.8,44.5,59.64,80.47,#,70300,92550,124040,167370,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3051,Industrial Production Managers,,6910,3.6,1.327,1.12,47.78,99370,1.6,25.16,33.07,43.57,57.31,74.55,52340,68780,90630,119200,155070,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3061,Purchasing Managers,,3050,4.7,0.585,1.12,54.44,113240,3.2,30.19,38.52,50.48,65.72,83.89,62790,80110,105010,136710,174480,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3071,"Transportation, Storage, and Distribution Managers",,4270,5.4,0.819,1.14,42.72,88860,1.5,27.45,32.64,40.26,50.7,61.94,57100,67880,83730,105460,128830,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3111,Compensation and Benefits Managers,,1070,7.3,0.206,1.07,53.03,110300,1.8,30.13,38.1,51.01,65.4,79.58,62680,79250,106110,136020,165530,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3121,Human Resources Managers,,3860,4.3,0.74,1.16,57.47,119550,1.6,33.78,42.4,53.57,68.1,86.17,70270,88190,111420,141650,179230,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3131,Training and Development Managers,,940,5.8,0.181,0.86,54.48,113310,3.2,32.94,40.97,50.75,61.04,82.85,68510,85230,105560,126960,172330,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9021,Construction Managers,,7250,6.2,1.391,0.92,51.69,107510,1.5,30.89,38.26,48.21,63.21,78.35,64240,79570,100280,131480,162960,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",,2270,8,0.437,1.14,29.5,61360,7,13.86,17.65,24.41,34.26,46.1,28840,36720,50780,71250,95900,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9032,"Education Administrators, Elementary and Secondary School",,6650,6,1.277,0.74,*,104310,1.4,*,*,*,*,*,73700,90340,105810,117970,138420,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9033,"Education Administrators, Postsecondary",,3410,8.8,0.655,0.74,47.75,99320,3,24.52,31.74,43.4,59.53,74.41,51010,66020,90270,123820,154760,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9039,"Education Administrators, All Other",,1300,14.5,0.249,1.14,39.54,82250,4.1,19.34,23.44,37.04,52.58,62.3,40230,48760,77050,109370,129590,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9041,Architectural and Engineering Managers,,10020,5.9,1.924,1.34,69.24,144030,2.4,40.37,52.68,66.69,82.14,#,83970,109580,138710,170850,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9051,Food Service Managers,,10210,4.2,1.961,1.37,25.01,52020,2.1,15.83,18.72,22.48,29.14,36.72,32930,38930,46760,60620,76370,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9071,Gaming Managers,,90,46.2,0.016,0.59,38.62,80320,4.6,24.37,28.62,37.14,46.12,58.76,50690,59530,77250,95920,122230,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9081,Lodging Managers,,1110,19.3,0.213,0.91,27.14,56460,4.4,15.76,17.37,22.97,31.59,43.65,32790,36120,47780,65710,90780,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9111,Medical and Health Services Managers,,9290,4.1,1.783,0.8,50.67,105400,1.5,25.63,34.89,47.65,61,76.73,53310,72570,99110,126890,159600,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9121,Natural Sciences Managers,,1580,11.2,0.302,0.82,72.89,151620,3.8,41.68,50.08,65.18,87.38,#,86690,104160,135580,181760,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9131,Postmasters and Mail Superintendents,,110,0,0.02,0.11,44.04,91600,2.4,36.96,40.65,42.8,46.78,51.33,76870,84540,89020,97300,106770,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9141,"Property, Real Estate, and Community Association Managers",,11120,5.5,2.134,1.8,34.28,71290,2.5,15.32,21.37,30.92,41.18,59.03,31870,44450,64320,85660,122780,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9151,Social and Community Service Managers,,5030,5,0.966,1.07,33.12,68880,5,17.25,22.14,32.18,41.12,52.29,35890,46050,66940,85530,108770,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9161,Emergency Management Directors,,200,4.3,0.039,0.45,45.58,94810,1.8,30.49,36.56,44.37,54.54,66.48,63430,76050,92300,113450,138280,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9199,"Managers, All Other",,15510,11,2.978,1.11,63.63,132350,6.2,31,43.28,58.67,78.11,#,64480,90030,122030,162460,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-0000,Business and Financial Operations Occupations,major,285440,1.5,54.795,1.14,35.33,73490,0.6,18.31,23.98,32.02,42.81,55.96,38080,49870,66600,89050,116400,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,3350,6.9,0.643,6.91,64.5,134160,9.2,20.53,27.25,54.35,#,#,42710,56670,113050,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1021,"Buyers and Purchasing Agents, Farm Products",,330,30,0.063,0.8,30.25,62910,4.3,19.81,24.24,28.09,34.38,43.18,41190,50410,58430,71520,89800,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",,6130,6.5,1.177,1.43,27,56150,2,15.8,18.9,24.54,32.6,42.92,32870,39320,51040,67810,89270,,
