Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,0.4%,1
Natural resources and conservation,,,2.7%,3
Architecture,,,0.2%,4
"Area, ethnic, and gender studies",,,0.1%,5
Communication/journalism,,,7.9%,9
Communication technologies,,,,10
Computer and information sciences,,,1.4%,11
Personal and culinary services,,,,12
Education,,,10.5%,13
Engineering,,,,14
Engineering technologies,,,1.4%,15
"Foreign languages, literatures, and linguistics",,,1.0%,16
Family and consumer sciences,,,1.2%,19
Law/legal studies,,,,22
English,,,1.8%,23
Liberal arts/general studies,,,0.4%,24
Library science,,,,25
Biological/life sciences,,,3.2%,26
Mathematics and statistics,,,0.9%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,0.6%,30
Parks and recreation,,,7.4%,31
Philosophy and religious studies,,,0.7%,38
Theology and religious vocations,,,,39
Physical sciences,,,2.6%,40
Science technologies,,,,41
Psychology,,,6.1%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,4.1%,43
Public administration and social services,,,2.6%,44
Social sciences,,,6.1%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,6.2%,50
Health professions and related programs,,,10.7%,51
Business/marketing,,,18.6%,52
History,,,1.3%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.0%,
