Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2010 Categories to Include
Agriculture,,,,1
Natural resources and conservation,,,,3
Architecture,,,,4
"Area, ethnic, and gender studies",,,1.4%,5
Communication/journalism,,,,9
Communication technologies,,,,10
Computer and information sciences,,,1.4%,11
Personal and culinary services,,,,12
Education,,,,13
Engineering,,,,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,5.1%,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,4.5%,23
Liberal arts/general studies,,,2.0%,24
Library science,,,,25
Biological/life sciences,,,5.9%,26
Mathematics and statistics,,,1.2%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,6.2%,30
Parks and recreation,,,,31
Philosophy and religious studies,,,1.3%,38
Theology and religious vocations,,,,39
Physical sciences,,,1.0%,40
Science technologies,,,,41
Psychology,,,4.6%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,37.6%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,1.8%,50
Health professions and related programs,100.00%,,6.2%,51
Business/marketing,,,18.4%,52
History,,,1.4%,54
Other,,,,
TOTAL (should = 100%),100.00%,0.00%,100.00%,
