Category,Diplomas / Certificates,Associate,Bachelor’s,CIP 2010 Categories to Include
Agriculture,,,0.0%,1
Natural resources and conservation,,,1.5%,3
Architecture,,,0.7%,4
"Area, ethnic, and gender studies",,,1.9%,5
Communication/journalism,,,2.9%,9
Communication technologies,,,0.0%,10
Computer and information sciences,,,7.4%,11
Personal and culinary services,,,0.0%,12
Education,,,1.1%,13
Engineering,,,15.7%,14
Engineering technologies,,,0.0%,15
"Foreign languages, literatures, and linguistics",,,4.1%,16
Family and consumer sciences,,,0.0%,19
Law/legal studies,,,0.0%,22
English,,,2.7%,23
Liberal arts/general studies,,,0.9%,24
Library science,,,0.0%,25
Biological/life sciences,,,8.5%,26
Mathematics and statistics,,,3.3%,27
Military science and military technologies,,,0.0%,28 & 29
Interdisciplinary studies,,,3.9%,30
Parks and recreation,,,2.8%,31
Philosophy and religious studies,,,0.4%,38
Theology and religious vocations,,,0.0%,39
Physical sciences,,,2.0%,40
Science technologies,,,0.0%,41
Psychology,,,9.8%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,0.0%,43
Public administration and social services,,,0.8%,44
Social sciences,,,12.5%,45
Construction trades,,,0.0%,46
Mechanic and repair technologies,,,0.0%,47
Precision production,,,0.0%,48
Transportation and materials moving,,,0.0%,49
Visual and performing arts,,,5.9%,50
Health professions and related programs,,,2.6%,51
Business/marketing,,,6.8%,52
History,,,1.6%,54
Other,,,,
TOTAL (should = 100%),0%,0%,100%,
