PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
MI,11460,"Ann Arbor, MI",00-0000,All Occupations,total,193760,1.7,1000,1,24.19,50320,4,8.84,11.73,18.63,29.76,44.75,18400,24400,38750,61900,93090,,
MI,11460,"Ann Arbor, MI",11-0000,Management Occupations,major,8580,4.9,44.266,0.9,50.71,105480,2.4,22.36,32.46,45.34,62.75,86.27,46510,67520,94300,130520,179440,,
MI,11460,"Ann Arbor, MI",11-1011,Chief Executives,detailed,470,8.6,2.43,1.24,80.43,167300,4,29.21,50.93,78.56,#,#,60760,105940,163410,#,#,,
MI,11460,"Ann Arbor, MI",11-1021,General and Operations Managers,detailed,2060,5.6,10.613,0.73,49.17,102270,2.9,18.86,30.16,43.73,61.54,86.94,39240,62720,90960,128010,180840,,
MI,11460,"Ann Arbor, MI",11-1031,Legislators,detailed,90,18.7,0.474,1.09,*,41340,9.7,*,*,*,*,*,16540,17520,19160,55980,87690,True,
MI,11460,"Ann Arbor, MI",11-2021,Marketing Managers,detailed,150,35.6,0.75,0.57,59.78,124350,9.6,29.29,34.47,47.14,71.35,#,60930,71700,98060,148410,#,,
MI,11460,"Ann Arbor, MI",11-2022,Sales Managers,detailed,350,9.4,1.813,0.69,54.67,113720,4.2,25.23,33.51,50.03,67.89,#,52480,69710,104070,141200,#,,
MI,11460,"Ann Arbor, MI",11-2031,Public Relations and Fundraising Managers,detailed,140,4.3,0.724,1.76,53.53,111330,5.6,29.99,36.06,48.55,62.26,86.53,62380,75010,100980,129500,179980,,
MI,11460,"Ann Arbor, MI",11-3011,Administrative Services Managers,detailed,490,2.9,2.506,1.24,38.86,80820,3.1,23.82,28.65,35.57,44.99,58.74,49550,59590,74000,93580,122180,,
MI,11460,"Ann Arbor, MI",11-3021,Computer and Information Systems Managers,detailed,570,10.1,2.958,1.24,53.31,110880,2.9,34.36,41.83,50.51,58.49,75.95,71470,87000,105060,121660,157980,,
