PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,LOC_QUOTIENT
CA,41740,"San Diego-Carlsbad, CA",00-0000,All Occupations,,1319170,0.6,21.74,45210,1.2,8.37,10.62,16.67,27.50,41.33,17420,22080,34670,57210,85960,,,
CA,41740,"San Diego-Carlsbad, CA",11-0000,Management occupations,major,75030,1.5,49.36,102680,0.8,20.10,29.77,44.49,63.33,#,41810,61910,92530,131730,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-1011,Chief executives,,2620,3.6,86.44,179790,1.7,48.14,67.80,#,#,#,100130,141020,#,#,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-1021,General and operations managers,,20240,2.1,55.20,114820,1.3,24.10,33.25,48.58,#,#,50120,69160,101050,#,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-1031,Legislators,,160,16.6,*,50190,5.4,*,*,*,*,*,25720,36790,46760,57380,73180,True,,
CA,41740,"San Diego-Carlsbad, CA",11-2011,Advertising and promotions managers,,430,12.9,42.35,88090,7.0,20.90,25.20,35.45,50.45,#,43470,52420,73730,104940,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-2021,Marketing managers,,2720,5.4,57.57,119740,1.7,29.25,38.26,53.94,#,#,60830,79590,112190,#,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-2022,Sales managers,,5030,4.8,54.37,113100,2.2,23.34,32.22,48.72,#,#,48540,67020,101340,#,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-2031,Public relations managers,,470,13.3,40.90,85080,4.1,21.00,24.27,37.35,53.31,63.66,43670,50490,77690,110880,132400,,,
CA,41740,"San Diego-Carlsbad, CA",11-3011,Administrative services managers,,2150,7.3,43.16,89770,6.1,20.24,27.06,40.04,53.05,#,42110,56270,83290,110340,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-3021,Computer and information systems managers,,3110,5.2,51.78,107710,1.3,30.55,39.52,49.80,61.83,#,63540,82200,103590,128600,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-3031,Financial managers,,5880,3.9,53.32,110900,1.7,26.66,33.96,47.97,66.28,#,55450,70650,99780,137860,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-3041,Compensation and benefits managers,,360,8.6,47.43,98650,2.9,27.67,35.67,45.04,58.71,#,57560,74200,93690,122130,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-3042,Training and development managers,,370,6.7,45.96,95590,2.7,32.18,38.39,43.82,52.95,66.20,66930,79840,91150,110140,137700,,,
CA,41740,"San Diego-Carlsbad, CA",11-3049,"Human resources managers, all other",,700,5.3,51.25,106600,2.5,31.62,37.67,44.95,59.77,#,65770,78360,93490,124320,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-3051,Industrial production managers,,1620,9.2,47.22,98220,3.2,25.12,31.28,41.55,58.07,#,52260,65060,86430,120780,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-3061,Purchasing managers,,920,6.3,45.70,95060,2.2,26.13,33.83,43.43,55.53,66.38,54360,70370,90320,115500,138060,,,
CA,41740,"San Diego-Carlsbad, CA",11-3071,"Transportation, storage, and distribution managers",,920,7.3,40.89,85060,3.3,23.97,30.43,38.11,47.99,60.34,49860,63290,79270,99820,125510,,,
CA,41740,"San Diego-Carlsbad, CA",11-9021,Construction managers,,2550,8.2,46.31,96320,2.1,30.29,36.82,44.53,53.66,67.47,63010,76580,92620,111620,140330,,,
CA,41740,"San Diego-Carlsbad, CA",11-9031,"Education administrators, preschool and child care center/program",,450,10.8,25.85,53770,7.6,13.79,16.45,20.82,28.63,53.61,28680,34210,43300,59550,111500,,,
CA,41740,"San Diego-Carlsbad, CA",11-9032,"Education administrators, elementary and secondary school",,1430,5.0,*,107360,2.9,*,*,*,*,*,74240,90510,109600,129430,145320,True,,
CA,41740,"San Diego-Carlsbad, CA",11-9033,"Education administrators, postsecondary",,1630,12.6,31.13,64760,10.0,15.19,21.01,25.08,36.73,55.45,31600,43710,52160,76390,115330,,,
CA,41740,"San Diego-Carlsbad, CA",11-9039,"Education administrators, all other",,330,12.6,35.33,73480,7.4,17.98,22.85,28.34,47.45,61.73,37390,47530,58960,98690,128400,,,
CA,41740,"San Diego-Carlsbad, CA",11-9041,Engineering managers,,4060,6.6,57.86,120340,1.9,35.80,44.16,56.14,69.25,#,74470,91850,116770,144030,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-9051,Food service managers,,3160,9.7,23.72,49330,3.6,16.00,18.87,22.23,27.69,34.35,33280,39250,46240,57590,71450,,,
CA,41740,"San Diego-Carlsbad, CA",11-9061,Funeral directors,,50,20.4,19.72,41010,2.4,14.30,17.30,20.37,22.62,24.27,29750,35970,42360,47040,50490,,,
CA,41740,"San Diego-Carlsbad, CA",11-9071,Gaming managers,,70,39.8,42.89,89220,7.0,18.14,31.42,37.50,48.69,#,37720,65360,78000,101280,#,,,
CA,41740,"San Diego-Carlsbad, CA",11-9081,Lodging managers,,490,9.0,28.30,58850,7.0,14.64,18.85,25.26,33.47,50.76,30450,39210,52530,69620,105580,,,
CA,41740,"San Diego-Carlsbad, CA",11-9111,Medical and health services managers,,2010,9.0,47.18,98140,2.2,25.76,34.80,44.66,56.16,#,53580,72390,92900,116810,#,,,
