PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,00-0000,All Occupations,total,102090,1,1000,1,24.86,51700,3.4,10.09,13.27,18.85,29,44.21,20980,27590,39210,60330,91950,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-0000,Management Occupations,major,5570,2.2,54.535,1.04,55.46,115350,2.6,24.42,32.81,46.86,67.91,98.24,50790,68240,97470,141250,204350,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-1011,Chief Executives,detailed,110,10.3,1.053,0.78,92.99,193410,7.2,35.29,54.04,81.7,#,#,73390,112410,169930,#,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-1021,General and Operations Managers,detailed,1640,4.5,16.087,1.02,56.32,117140,3.7,21.96,29.25,42.63,69.47,#,45670,60850,88670,144500,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-1031,Legislators,detailed,80,10.8,0.776,2.23,*,19240,6.4,*,*,*,*,*,16050,16780,18000,19220,25570,True,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-2021,Marketing Managers,detailed,140,9.9,1.329,0.8,74.62,155200,4.6,40.43,50.56,69.58,90.24,#,84090,105160,144720,187700,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-2022,Sales Managers,detailed,140,8.9,1.341,0.51,68.67,142840,5.4,34.57,51.4,64.36,81.61,#,71900,106900,133870,169760,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-2031,Public Relations and Fundraising Managers,detailed,130,5.5,1.302,2.6,64.38,133910,6.8,35.43,43.7,58.94,77.08,#,73700,90890,122600,160320,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-3011,Administrative Services Managers,detailed,160,5.1,1.542,0.79,53.35,110970,4,29.49,36.29,46.65,66,80.79,61340,75490,97030,137280,168050,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-3021,Computer and Information Systems Managers,detailed,260,7.5,2.573,0.95,62.44,129870,3.5,38.22,46.22,58.37,74.27,92.62,79490,96140,121420,154480,192640,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-3031,Financial Managers,detailed,520,4.4,5.113,1.22,63.73,132550,4,31.43,41.03,56.65,77.87,#,65380,85340,117840,161970,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-3051,Industrial Production Managers,detailed,160,11.2,1.59,1.27,55.95,116370,3.5,30.57,43.67,54.09,65.66,79.65,63590,90830,112510,136570,165670,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-3061,Purchasing Managers,detailed,70,3.5,0.676,1.41,63.09,131230,4.9,40.17,46.03,57.01,72.5,93.48,83540,95730,118570,150800,194440,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-3071,"Transportation, Storage, and Distribution Managers",detailed,40,9.8,0.404,0.47,73.24,152350,11.7,36.44,47.27,62.36,88.12,#,75780,98320,129700,183280,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-3121,Human Resources Managers,detailed,80,4.5,0.827,0.83,65.79,136830,5.6,40.15,45.35,54.99,74.7,#,83510,94330,114380,155370,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9021,Construction Managers,detailed,170,12.6,1.66,0.86,44.54,92640,4.4,27.71,33.62,40.48,53.23,65.5,57640,69930,84200,110710,136230,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,40,18.4,0.434,1.24,25.15,52320,4.9,18.61,20.63,23.09,29.02,36.24,38710,42920,48020,60370,75380,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9032,"Education Administrators, Elementary and Secondary School",detailed,280,4.5,2.732,1.5,*,86340,2.9,*,*,*,*,*,58000,72050,86900,100490,116760,True,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9033,"Education Administrators, Postsecondary",detailed,340,3.1,3.357,3.39,54.07,112470,7.5,26.97,33.04,44.82,65.88,93.55,56100,68710,93220,137040,194580,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9041,Architectural and Engineering Managers,detailed,110,11.8,1.119,0.86,73.32,152500,7.9,49.21,56.73,67.86,80.4,#,102350,117990,141140,167230,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9051,Food Service Managers,detailed,130,16.2,1.264,0.83,31.71,65950,4.9,22.19,25.18,28.95,36.95,45.85,46160,52370,60210,76860,95360,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9081,Lodging Managers,detailed,**,**,**,**,31.88,66300,9.2,19.34,21.76,25.2,44.86,56.62,40220,45270,52410,93320,117760,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9111,Medical and Health Services Managers,detailed,420,4.3,4.102,1.59,60.9,126670,8.1,29.82,40.6,51.89,70.99,#,62030,84450,107920,147660,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9121,Natural Sciences Managers,detailed,40,5.2,0.354,0.85,70.06,145720,8.9,40.75,46.14,58.9,75.05,#,84760,95970,122510,156110,#,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9131,Postmasters and Mail Superintendents,detailed,50,0,0.519,5.46,34.08,70880,1,29.93,30.87,33.56,35.89,40.48,62260,64220,69790,74650,84190,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9141,"Property, Real Estate, and Community Association Managers",detailed,100,22.4,0.934,0.67,32.77,68170,4.6,23.01,26.85,31.42,38.17,44.9,47860,55850,65350,79400,93380,,
NH,3300006,West Central-Southwest New Hampshire nonmetropolitan area,11-9151,Social and Community Service Managers,detailed,120,11.2,1.146,1.11,27.89,58020,2.7,19.37,21.82,26.04,33.15,39.14,40300,45380,54170,68950,81420,,
