PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",00-0000,All Occupations,total,5627380,0.3,1000,1,25.96,54000,0.6,9.43,11.7,18.6,32.36,50.88,19610,24340,38700,67310,105830,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-0000,Management Occupations,major,326680,0.9,58.051,1.15,60.26,125350,0.6,23.15,34.17,52.22,76.25,#,48140,71080,108620,158600,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1011,Chief Executives,detailed,11610,4,2.064,1.19,104.76,217900,2,44.26,70.3,#,#,#,92060,146230,#,#,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1021,General and Operations Managers,detailed,102660,1.5,18.242,1.17,63.33,131730,0.9,22.96,33.67,52.13,83.12,#,47760,70030,108440,172900,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-1031,Legislators,detailed,750,7.8,0.133,0.33,*,66370,4.2,*,*,*,*,*,37290,48260,60630,82120,104560,True,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2011,Advertising and Promotions Managers,detailed,1870,10.9,0.333,1.56,57.36,119300,4.5,20.08,31.67,48.96,72.61,#,41770,65870,101830,151030,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2021,Marketing Managers,detailed,9920,3.8,1.764,1.26,68.57,142620,1.3,33,44.96,64.8,85.31,#,68630,93520,134780,177440,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2022,Sales Managers,detailed,25880,2.9,4.599,1.74,61.5,127910,1.5,22.48,33.27,53.58,78.77,#,46760,69190,111450,163850,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-2031,Public Relations and Fundraising Managers,detailed,2280,5.9,0.405,0.93,63.19,131440,3.2,32.55,42.74,57.4,76.42,#,67700,88900,119380,158960,#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3011,Administrative Services Managers,detailed,16010,2.8,2.846,1.45,49.6,103160,1.8,25.79,33.2,45.3,59.85,77.38,53640,69060,94220,124480,160950,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3021,Computer and Information Systems Managers,detailed,13490,3,2.398,0.97,71.11,147920,1.3,40.69,52.47,67.35,84.72,#,84630,109140,140080,176210,#,,
