PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",00-0000,All Occupations,total,5541000,0.5,1000,1,25.48,53000,0.6,9.09,11.46,18.41,32.15,50.08,18900,23850,38290,66880,104170,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-0000,Management Occupations,major,325030,0.9,58.658,1.18,59.74,124250,0.6,23.8,34.87,52.28,75.54,#,49510,72530,108740,157120,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-1011,Chief Executives,detailed,11670,5.5,2.107,1.16,101.61,211350,1.9,48.38,71.7,#,#,#,100620,149150,#,#,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-1021,General and Operations Managers,detailed,102100,1.4,18.427,1.21,61.76,128460,0.9,23.92,34.01,51.79,80.54,#,49750,70750,107720,167520,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-1031,Legislators,detailed,580,8.4,0.105,0.26,*,67450,5.3,*,*,*,*,*,37680,49240,69100,85460,94460,True,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-2011,Advertising and Promotions Managers,detailed,2040,16.6,0.368,1.69,60.09,124990,4.6,22,36.03,54.98,73.5,#,45750,74930,114360,152880,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-2021,Marketing Managers,detailed,10410,4.9,1.879,1.38,67.8,141030,1.4,33.36,45.18,64.62,83.74,#,69380,93970,134420,174170,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-2022,Sales Managers,detailed,25680,2.9,4.634,1.74,60.54,125920,1.6,22.5,32.72,53.36,79.64,#,46800,68070,110980,165650,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-2031,Public Relations and Fundraising Managers,detailed,2370,7.4,0.428,1.02,56.61,117740,3.8,30.67,38.89,48.15,69.27,#,63800,80900,100150,144090,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-3011,Administrative Services Managers,detailed,15370,3,2.774,1.39,47.59,98990,1.2,25.4,32.65,43.23,56.72,74.93,52830,67920,89910,117980,155850,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-3021,Computer and Information Systems Managers,detailed,14010,3.1,2.529,1.03,70.53,146700,1.3,40.73,51.71,66.61,84.7,#,84710,107550,138560,176170,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-3031,Financial Managers,detailed,28470,3.2,5.137,1.34,71.83,149410,1.7,37.07,48.18,64.31,88.57,#,77110,100200,133760,184230,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-3051,Industrial Production Managers,detailed,7350,3.2,1.327,1.07,50.8,105670,1.7,26.53,34.49,45.91,62.12,81.97,55170,71740,95500,129220,170500,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-3061,Purchasing Managers,detailed,3270,5.2,0.591,1.13,52.04,108240,2.6,24.67,35.71,48.5,65.48,81.48,51310,74280,100880,136200,169480,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,5500,4.4,0.992,1.26,44.59,92750,1.9,25.14,31.65,39.56,50.91,70.95,52300,65840,82290,105900,147580,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-3111,Compensation and Benefits Managers,detailed,590,7.9,0.107,0.88,60.57,125990,2.9,30.76,38.51,56.14,77.02,#,63970,80110,116770,160210,#,,
CA,31100,"Los Angeles-Long Beach-Anaheim, CA",11-3121,Human Resources Managers,detailed,5510,3.3,0.995,1.15,60.13,125070,1.4,31.9,41.95,55.06,72.37,#,66360,87250,114520,150520,#,,
