Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Agriculture,1%,,3%,1,wsu,2017
Natural resources and conservation,,,0%,3,wsu,2017
Architecture,,,1%,4,wsu,2017
"Area, ethnic, and gender studies",,,0%,5,wsu,2017
Communication/journalism,,,8%,9,wsu,2017
Communication technologies,,,,10,wsu,2017
Computer and information sciences,0%,,2%,11,wsu,2017
Personal and culinary services,,,,12,wsu,2017
Education,35%,,3%,13,wsu,2017
Engineering,0%,,11%,14,wsu,2017
Engineering technologies,7%,,,15,wsu,2017
"Foreign languages, literatures, and linguistics",,,1%,16,wsu,2017
Family and consumer sciences,25%,,5%,19,wsu,2017
Law/legal studies,,,,22,wsu,2017
English,5%,,1%,23,wsu,2017
Liberal arts/general studies,0%,,2%,24,wsu,2017
Library science,,,,25,wsu,2017
Biological/life sciences,1%,,6%,26,wsu,2017
Mathematics and statistics,,,1%,27,wsu,2017
Military science and military technologies,,,,28 & 29,wsu,2017
Interdisciplinary studies,3%,,1%,30,wsu,2017
Parks and recreation,,,3%,31,wsu,2017
Philosophy and religious studies,,,0%,38,wsu,2017
Theology and religious vocations,,,,39,wsu,2017
Physical sciences,,,2%,40,wsu,2017
Science technologies,,,,41,wsu,2017
Psychology,,,7%,42,wsu,2017
"Homeland Security, law enforcement, firefighting, and
protective services",0%,,3%,43,wsu,2017
Public administration and social services,,,0%,44,wsu,2017
Social sciences,,,10%,45,wsu,2017
Construction trades,,,,46,wsu,2017
Mechanic and repair technologies,,,,47,wsu,2017
Precision production,,,,48,wsu,2017
Transportation and materials moving,,,,49,wsu,2017
Visual and performing arts,,,1%,50,wsu,2017
Health professions and related programs,2%,,7%,51,wsu,2017
Business/marketing,18%,,21%,52,wsu,2017
History,,,1%,54,wsu,2017
Other,,,,,wsu,2017
TOTAL (should = 100%),100%,0.00%,100%,,wsu,2017
Agriculture,,,,1,ucsd,2017
Natural resources and conservation,,,,3,ucsd,2017
Architecture,,,,4,ucsd,2017
"Area, ethnic, and gender studies",,,4%,5,ucsd,2017
Communication/journalism,,,4%,9,ucsd,2017
Communication technologies,,,,10,ucsd,2017
Computer and information sciences,,,,11,ucsd,2017
Personal and culinary services,,,,12,ucsd,2017
Education,,,,13,ucsd,2017
Engineering,,,27%,14,ucsd,2017
Engineering technologies,,,,15,ucsd,2017
"Foreign languages, literatures, and linguistics",,,2%,16,ucsd,2017
Family and consumer sciences,,,,19,ucsd,2017
Law/legal studies,,,,22,ucsd,2017
English,,,,23,ucsd,2017
Liberal arts/general studies,,,,24,ucsd,2017
Library science,,,,25,ucsd,2017
Biological/life sciences,,,21%,26,ucsd,2017
Mathematics and statistics,,,4%,27,ucsd,2017
Military science and military technologies,,,,28 & 29,ucsd,2017
