Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Agriculture,,,,1,asu,2014
Natural resources and conservation,,,2.6%,3,asu,2014
Architecture,,,0.3%,4,asu,2014
"Area, ethnic, and gender studies",,,0.1%,5,asu,2014
Communication/journalism,,,6.2%,9,asu,2014
Communication technologies,,,,10,asu,2014
Computer and information sciences,,,1.0%,11,asu,2014
Personal and culinary services,,,,12,asu,2014
Education,,,13.8%,13,asu,2014
Engineering,,,,14,asu,2014
Engineering technologies,,,1.9%,15,asu,2014
"Foreign languages, literatures, and linguistics",,,1.2%,16,asu,2014
Family and consumer sciences,,,1.1%,19,asu,2014
Law/legal studies,,,,22,asu,2014
English,,,1.8%,23,asu,2014
Liberal arts/general studies,,,0.8%,24,asu,2014
Library science,,,,25,asu,2014
Biological/life sciences,,,3.7%,26,asu,2014
Mathematics and statistics,,,0.6%,27,asu,2014
Military science and military technologies,,,,28 & 29,asu,2014
Interdisciplinary studies,,,0.9%,30,asu,2014
Parks and recreation,,,6.7%,31,asu,2014
Philosophy and religious studies,,,0.7%,38,asu,2014
Theology and religious vocations,,,,39,asu,2014
Physical sciences,,,2.5%,40,asu,2014
Science technologies,,,,41,asu,2014
Psychology,,,7.2%,42,asu,2014
"Homeland Security, law enforcement, firefighting, and
protective services",,,4.0%,43,asu,2014
Public administration and social services,,,1.8%,44,asu,2014
Social sciences,,,6.9%,45,asu,2014
Construction trades,,,,46,asu,2014
Mechanic and repair technologies,,,,47,asu,2014
Precision production,,,,48,asu,2014
Transportation and materials moving,,,,49,asu,2014
Visual and performing arts,,,6.1%,50,asu,2014
Health professions and related programs,,,8.8%,51,asu,2014
Business/marketing,,,17.6%,52,asu,2014
History,,,1.8%,54,asu,2014
Other,,,,,asu,2014
TOTAL (should = 100%),0.00%,0.00%,100.02%,,asu,2014
Agriculture,,,,1,george,2014
Natural resources and conservation,,,,3,george,2014
Architecture,,,,4,george,2014
"Area, ethnic, and gender studies",,,1.27%,5,george,2014
Communication/journalism,,,0.00%,9,george,2014
Communication technologies,,,0.00%,10,george,2014
Computer and information sciences,,,0.73%,11,george,2014
Personal and culinary services,,,0.00%,12,george,2014
Education,,,0.00%,13,george,2014
Engineering,,,0.00%,14,george,2014
Engineering technologies,,,0.00%,15,george,2014
"Foreign languages, literatures, and linguistics",,,5.27%,16,george,2014
Family and consumer sciences,,,0.00%,19,george,2014
Law/legal studies,,,0.00%,22,george,2014
English,,,5.59%,23,george,2014
Liberal arts/general studies,,,1.59%,24,george,2014
Library science,,,0.00%,25,george,2014
Biological/life sciences,,,4.91%,26,george,2014
Mathematics and statistics,,,1.95%,27,george,2014
Military science and military technologies,,,0.00%,28 & 29,george,2014
Interdisciplinary studies,,,4.54%,30,george,2014
Parks and recreation,,,0.00%,31,george,2014
Philosophy and religious studies,,,1.41%,38,george,2014
Theology and religious vocations,,,0.00%,39,george,2014
Physical sciences,,,0.91%,40,george,2014
Science technologies,,,0.00%,41,george,2014
Psychology,,,4.09%,42,george,2014
"Homeland Security, law enforcement, firefighting, and
protective services",,,0.00%,43,george,2014
Public administration and social services,,,0.00%,44,george,2014
Social sciences,,,33.17%,45,george,2014
Construction trades,,,0.00%,46,george,2014
Mechanic and repair technologies,,,0.00%,47,george,2014
Precision production,,,0.00%,48,george,2014
Transportation and materials moving,,,0.00%,49,george,2014
Visual and performing arts,,,2.27%,50,george,2014
Health professions and related programs,100.00%,,6.91%,51,george,2014
Business/marketing,,,23.35%,52,george,2014
History,,,2.04%,54,george,2014
Other,,,,,george,2014
TOTAL (should = 100%),100.00%,0.00%,100.00%,,george,2014
Agriculture,,,,1,dartmouth,2014
Natural resources and conservation,,,4%,3,dartmouth,2014
Architecture,,,,4,dartmouth,2014
"Area, ethnic, and gender studies",,,4%,5,dartmouth,2014
Communication/journalism,,,,9,dartmouth,2014
Communication technologies,,,,10,dartmouth,2014
Computer and information sciences,,,4%,11,dartmouth,2014
Personal and culinary services,,,,12,dartmouth,2014
Education,,,,13,dartmouth,2014
Engineering,,,8%,14,dartmouth,2014
Engineering technologies,,,,15,dartmouth,2014
"Foreign languages, literatures, and linguistics",,,4%,16,dartmouth,2014
Family and consumer sciences,,,,19,dartmouth,2014
Law/legal studies,,,,22,dartmouth,2014
English,,,5%,23,dartmouth,2014
Liberal arts/general studies,,,0%,24,dartmouth,2014
Library science,,,,25,dartmouth,2014
Biological/life sciences,,,10%,26,dartmouth,2014
Mathematics and statistics,,,4%,27,dartmouth,2014
Military science and military technologies,,,,28 & 29,dartmouth,2014
Interdisciplinary studies,,,2%,30,dartmouth,2014
Parks and recreation,,,,31,dartmouth,2014
Philosophy and religious studies,,,2%,38,dartmouth,2014
Theology and religious vocations,,,,39,dartmouth,2014
Physical sciences,,,4%,40,dartmouth,2014
Science technologies,,,,41,dartmouth,2014
Psychology,,,6%,42,dartmouth,2014
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,dartmouth,2014
Public administration and social services,,,,44,dartmouth,2014
Social sciences,,,33%,45,dartmouth,2014
Construction trades,,,,46,dartmouth,2014
Mechanic and repair technologies,,,,47,dartmouth,2014
Precision production,,,,48,dartmouth,2014
Transportation and materials moving,,,,49,dartmouth,2014
Visual and performing arts,,,5%,50,dartmouth,2014
Health professions and related programs,,,,51,dartmouth,2014
Business/marketing,,,,52,dartmouth,2014
History,,,6%,54,dartmouth,2014
Other,,,,,dartmouth,2014
TOTAL (should = 100%),0.00%,0.00%,100.00%,,dartmouth,2014
Agriculture,,,,,caltech,2014
Natural resources and conservation,,,,,caltech,2014
Architecture,,,,,caltech,2014
"Area, ethnic, and gender studies",,,,,caltech,2014
Communication/journalism,,,,,caltech,2014
Communication technologies,,,,,caltech,2014
Computer and information sciences,,,18%,,caltech,2014
Personal and culinary services,,,,,caltech,2014
Education,,,,,caltech,2014
Engineering,,,36%,,caltech,2014
Engineering technologies,,,,,caltech,2014
"Foreign languages, literatures, and linguistics",,,,,caltech,2014
Family and consumer sciences,,,,,caltech,2014
Law/legal studies,,,,,caltech,2014
English,,,,,caltech,2014
Liberal arts/general studies,,,,,caltech,2014
Library science,,,,,caltech,2014
Biological/life sciences,,,13%,,caltech,2014
Mathematics and statistics,,,11%,,caltech,2014
Military science and military technologies,,,,,caltech,2014
Interdisciplinary studies,,,,,caltech,2014
Parks and recreation,,,,,caltech,2014
Philosophy and religious studies,,,,,caltech,2014
Theology and religious vocations,,,,,caltech,2014
