Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
"Biology, General",,,18%,26.01,ucsd,2015
Economics,,,14%,45.06,ucsd,2015
Psychology,,,8%,42.0,ucsd,2015
Computer Science,,,7%,11.07,ucsd,2015
"Political Science and Government, Other",,,5%,45.1099,ucsd,2015
Other,,,48%,,ucsd,2015
TOTAL (should = 100%),,,100%,,ucsd,2015
Agriculture,3%,,3%,1,wsu,2015
Natural resources and conservation,,,1%,3,wsu,2015
Architecture,,,1%,4,wsu,2015
"Area, ethnic, and gender studies",,,0%,5,wsu,2015
Communication/journalism,,,8%,9,wsu,2015
Communication technologies,,,,10,wsu,2015
Computer and information sciences,0%,,2%,11,wsu,2015
Personal and culinary services,,,,12,wsu,2015
Education,46%,,3%,13,wsu,2015
Engineering,,,11%,14,wsu,2015
Engineering technologies,6%,,,15,wsu,2015
"Foreign languages, literatures, and linguistics",,,1%,16,wsu,2015
Family and consumer sciences,25%,,4%,19,wsu,2015
Law/legal studies,,,,22,wsu,2015
English,3%,,2%,23,wsu,2015
Liberal arts/general studies,,,2%,24,wsu,2015
Library science,,,,25,wsu,2015
Biological/life sciences,2%,,6%,26,wsu,2015
Mathematics and statistics,,,1%,27,wsu,2015
Military science and military technologies,,,,28 & 29,wsu,2015
Interdisciplinary studies,5%,,1%,30,wsu,2015
Parks and recreation,,,4%,31,wsu,2015
Philosophy and religious studies,,,0%,38,wsu,2015
Theology and religious vocations,,,,39,wsu,2015
Physical sciences,,,1%,40,wsu,2015
Science technologies,,,,41,wsu,2015
Psychology,,,6%,42,wsu,2015
"Homeland Security, law enforcement, firefighting, and
protective services",1%,,3%,43,wsu,2015
Public administration and social services,,,0%,44,wsu,2015
Social sciences,,,12%,45,wsu,2015
Construction trades,,,,46,wsu,2015
Mechanic and repair technologies,,,,47,wsu,2015
Precision production,,,,48,wsu,2015
Transportation and materials moving,,,,49,wsu,2015
Visual and performing arts,,,2%,50,wsu,2015
Health professions and related programs,1%,,7%,51,wsu,2015
Business/marketing,8%,,20%,52,wsu,2015
History,,,1%,54,wsu,2015
Other,,,,,wsu,2015
TOTAL (should = 100%),100.00%,0.00%,100.00%,,wsu,2015
Agriculture,,,0.0%,1,umich,2015
Natural resources and conservation,,,1.4%,3,umich,2015
Architecture,,,0.9%,4,umich,2015
"Area, ethnic, and gender studies",,,2.1%,5,umich,2015
Communication/journalism,,,3.1%,9,umich,2015
Communication technologies,,,0.0%,10,umich,2015
Computer and information sciences,,,5.4%,11,umich,2015
Personal and culinary services,,,0.0%,12,umich,2015
Education,,,1.1%,13,umich,2015
Engineering,,,14.9%,14,umich,2015
Engineering technologies,,,0.0%,15,umich,2015
"Foreign languages, literatures, and linguistics",,,4.7%,16,umich,2015
Family and consumer sciences,,,0.0%,19,umich,2015
Law/legal studies,,,0.0%,22,umich,2015
English,,,3.1%,23,umich,2015
Liberal arts/general studies,,,1.0%,24,umich,2015
Library science,,,0.0%,25,umich,2015
Biological/life sciences,,,9.1%,26,umich,2015
Mathematics and statistics,,,3.3%,27,umich,2015
Military science and military technologies,,,0.0%,28 & 29,umich,2015
Interdisciplinary studies,,,3.5%,30,umich,2015
Parks and recreation,,,2.9%,31,umich,2015
Philosophy and religious studies,,,0.7%,38,umich,2015
Theology and religious vocations,,,0.0%,39,umich,2015
Physical sciences,,,1.6%,40,umich,2015
Science technologies,,,0.0%,41,umich,2015
Psychology,,,10.2%,42,umich,2015
"Homeland Security, law enforcement, firefighting,
and protective services",,,0.0%,43,umich,2015
Public administration and social services,,,0.8%,44,umich,2015
Social sciences,,,13.7%,45,umich,2015
Construction trades,,,0.0%,46,umich,2015
Mechanic and repair technologies,,,0.0%,47,umich,2015
Precision production,,,0.0%,48,umich,2015
Transportation and materials moving,,,0.0%,49,umich,2015
Visual and performing arts,,,5.7%,50,umich,2015
Health professions and related programs,,,2.1%,51,umich,2015
Business/marketing,,,6.6%,52,umich,2015
History,,,2.3%,54,umich,2015
Other,,,,,umich,2015
TOTAL (should = 100%),0%,0%,100%,,umich,2015
Agriculture,,,0,1,colgate,2015
Natural resources and conservation,,,3.70%,3,colgate,2015
Architecture,,,0,4,colgate,2015
"Area, ethnic, and gender studies",,,2.70%,5,colgate,2015
Communication/journalism,,,0,9,colgate,2015
Communication technologies,,,0,10,colgate,2015
Computer and information sciences,,,2.60%,11,colgate,2015
Personal and culinary services,,,0,12,colgate,2015
Education,,,1.70%,13,colgate,2015
Engineering,,,0,14,colgate,2015
Engineering technologies,,,0,15,colgate,2015
"Foreign languages, literatures, and linguistics",,,5.80%,16,colgate,2015
Family and consumer sciences,,,0,19,colgate,2015
Law/legal studies,,,0,22,colgate,2015
English,,,5.80%,23,colgate,2015
Liberal arts/general studies,,,0,24,colgate,2015
Library science,,,0,25,colgate,2015
Biological/life sciences,,,14.50%,26,colgate,2015
Mathematics and statistics,,,1.90%,27,colgate,2015
Military science and military technologies,,,0,28 & 29,colgate,2015
Interdisciplinary studies,,,3.90%,30,colgate,2015
Parks and recreation,,,0,31,colgate,2015
Philosophy and religious studies,,,5.50%,38,colgate,2015
Theology and religious vocations,,,0,39,colgate,2015
Physical sciences,,,4.80%,40,colgate,2015
Science technologies,,,0,41,colgate,2015
Psychology,,,4.90%,42,colgate,2015
"Homeland Security, law enforcement, firefighting, and
protective services",,,0,43,colgate,2015
Public administration and social services,,,0,44,colgate,2015
Social sciences,,,32.80%,45,colgate,2015
Construction trades,,,0,46,colgate,2015
Mechanic and repair technologies,,,0,47,colgate,2015
Precision production,,,0,48,colgate,2015
Transportation and materials moving,,,0,49,colgate,2015
Visual and performing arts,,,2.70%,50,colgate,2015
Health professions and related programs,,,0,51,colgate,2015
Business/marketing,,,0,52,colgate,2015
History,,,6.70%,54,colgate,2015
Other,,,%,,colgate,2015
TOTAL (should = 100%),0.00%,0.00%,100.00%,,colgate,2015
Agriculture,,,0.16%,1,asu,2015
Natural resources and conservation,,,2.33%,3,asu,2015
Architecture,,,0.28%,4,asu,2015
"Area, ethnic, and gender studies",,,0.08%,5,asu,2015
Communication/journalism,,,6.41%,9,asu,2015
Communication technologies,,,,10,asu,2015
Computer and information sciences,,,1.24%,11,asu,2015
Personal and culinary services,,,,12,asu,2015
Education,,,11.50%,13,asu,2015
Engineering,,,,14,asu,2015
Engineering technologies,,,1.52%,15,asu,2015
"Foreign languages, literatures, and linguistics",,,1.01%,16,asu,2015
Family and consumer sciences,,,1.16%,19,asu,2015
Law/legal studies,,,,22,asu,2015
English,,,2.09%,23,asu,2015
Liberal arts/general studies,,,0.23%,24,asu,2015
Library science,,,,25,asu,2015
Biological/life sciences,,,3.36%,26,asu,2015
Mathematics and statistics,,,0.83%,27,asu,2015
Military science and military technologies,,,,28 & 29,asu,2015
Interdisciplinary studies,,,0.70%,30,asu,2015
Parks and recreation,,,7.32%,31,asu,2015
Philosophy and religious studies,,,0.78%,38,asu,2015
Theology and religious vocations,,,,39,asu,2015
Physical sciences,,,2.59%,40,asu,2015
Science technologies,,,,41,asu,2015
Psychology,,,7.14%,42,asu,2015
"Homeland Security, law enforcement, firefighting, and
protective services",,,4.14%,43,asu,2015
Public administration and social services,,,2.87%,44,asu,2015
Social sciences,,,6.54%,45,asu,2015
Construction trades,,,,46,asu,2015
Mechanic and repair technologies,,,,47,asu,2015
Precision production,,,,48,asu,2015
Transportation and materials moving,,,,49,asu,2015
Visual and performing arts,,,6.90%,50,asu,2015
Health professions and related programs,,,9.07%,51,asu,2015
Business/marketing,,,18.38%,52,asu,2015
History,,,1.37%,54,asu,2015
Other,,,,,asu,2015
TOTAL (should = 100%),0.00%,0.00%,100.00%,,asu,2015
Agriculture,,,,1,dartmouth,2015
Natural resources and conservation,,,2%,3,dartmouth,2015
Architecture,,,,4,dartmouth,2015
"Area, ethnic, and gender studies",,,3%,5,dartmouth,2015
Communication/journalism,,,,9,dartmouth,2015
Communication technologies,,,,10,dartmouth,2015
Computer and information sciences,,,4%,11,dartmouth,2015
Personal and culinary services,,,,12,dartmouth,2015
Education,,,,13,dartmouth,2015
Engineering,,,6%,14,dartmouth,2015
Engineering technologies,,,,15,dartmouth,2015
"Foreign languages, literatures, and linguistics",,,3%,16,dartmouth,2015
Family and consumer sciences,,,,19,dartmouth,2015
Law/legal studies,,,,22,dartmouth,2015
English,,,4%,23,dartmouth,2015
Liberal arts/general studies,,,,24,dartmouth,2015
Library science,,,,25,dartmouth,2015
Biological/life sciences,,,12%,26,dartmouth,2015
Mathematics and statistics,,,2%,27,dartmouth,2015
Military science and military technologies,,,,28 & 29,dartmouth,2015
Interdisciplinary studies,,,2%,30,dartmouth,2015
Parks and recreation,,,,31,dartmouth,2015
Philosophy and religious studies,,,1%,38,dartmouth,2015
Theology and religious vocations,,,,39,dartmouth,2015
Physical sciences,,,3%,40,dartmouth,2015
Science technologies,,,,41,dartmouth,2015
Psychology,,,6%,42,dartmouth,2015
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,dartmouth,2015
Public administration and social services,,,,44,dartmouth,2015
Social sciences,,,39%,45,dartmouth,2015
Construction trades,,,,46,dartmouth,2015
Mechanic and repair technologies,,,,47,dartmouth,2015
Precision production,,,,48,dartmouth,2015
Transportation and materials moving,,,,49,dartmouth,2015
Visual and performing arts,,,5%,50,dartmouth,2015
Health professions and related programs,,,,51,dartmouth,2015
Business/marketing,,,,52,dartmouth,2015
History,,,7%,54,dartmouth,2015
Other,,,,,dartmouth,2015
TOTAL (should = 100%),0.00%,0.00%,100.00%,,dartmouth,2015
Agriculture,,,,1,caltech,2015
Natural resources and conservation,,,,3,caltech,2015
Architecture,,,,4,caltech,2015
"Area, ethnic, and gender studies",,,,5,caltech,2015
Communication/journalism,,,,9,caltech,2015
Communication technologies,,,,10,caltech,2015
Computer and information sciences,,,21%,11,caltech,2015
Personal and culinary services,,,,12,caltech,2015
Education,,,,13,caltech,2015
Engineering,,,35%,14,caltech,2015
Engineering technologies,,,,15,caltech,2015
"Foreign languages, literatures, and linguistics",,,,16,caltech,2015
Family and consumer sciences,,,,19,caltech,2015
Law/legal studies,,,,22,caltech,2015
English,,,,23,caltech,2015
Liberal arts/general studies,,,,24,caltech,2015
Library science,,,,25,caltech,2015
Biological/life sciences,,,8%,26,caltech,2015
Mathematics and statistics,,,12%,27,caltech,2015
Military science and military technologies,,,,28 & 29,caltech,2015
Interdisciplinary studies,,,,30,caltech,2015
Parks and recreation,,,,31,caltech,2015
Philosophy and religious studies,,,,38,caltech,2015
Theology and religious vocations,,,,39,caltech,2015
Physical sciences,,,22.5%,40,caltech,2015
Science technologies,,,,41,caltech,2015
Psychology,,,,42,caltech,2015
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43,caltech,2015
Public administration and social services,,,,44,caltech,2015
Social sciences,,,0.5%,45,caltech,2015
Construction trades,,,,46,caltech,2015
Mechanic and repair technologies,,,,47,caltech,2015
Precision production,,,,48,caltech,2015
Transportation and materials moving,,,,49,caltech,2015
Visual and performing arts,,,,50,caltech,2015
