Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Agriculture,,,,1,george,2018
Natural resources and conservation,,,,3,george,2018
Architecture,,,,4,george,2018
"Area, ethnic, and gender studies",,,1.55%,5,george,2018
Communication/journalism,,,,9,george,2018
Communication technologies,,,,10,george,2018
Computer and information sciences,6.25%,,1.65%,11,george,2018
Personal and culinary services,,,,12,george,2018
Education,,,,13,george,2018
Engineering,,,,14,george,2018
Engineering technologies,,,,15,george,2018
"Foreign languages, literatures, and linguistics",,,5.26%,16,george,2018
Family and consumer sciences,,,,19,george,2018
Law/legal studies,,,,22,george,2018
English,,,3.93%,23,george,2018
Liberal arts/general studies,,,1.42%,24,george,2018
Library science,,,,25,george,2018
Biological/life sciences,,,4.57%,26,george,2018
Mathematics and statistics,,,1.55%,27,george,2018
Military science and military technologies,,,,28 & 29,george,2018
Interdisciplinary studies,,,6.40%,30,george,2018
Parks and recreation,,,,31,george,2018
Philosophy and religious studies,,,1.74%,38,george,2018
Theology and religious vocations,,,,39,george,2018
Physical sciences,,,0.73%,40,george,2018
Science technologies,,,,41,george,2018
Psychology,,,4.34%,42,george,2018
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,george,2018
Public administration and social services,,,,44,george,2018
Social sciences,,,34.57%,45,george,2018
Construction trades,,,,46,george,2018
Mechanic and repair technologies,,,,47,george,2018
Precision production,,,,48,george,2018
Transportation and materials moving,,,,49,george,2018
Visual and performing arts,,,1.78%,50,george,2018
Health professions and related programs,93.75%,,3.20%,51,george,2018
Business/marketing,,,25.56%,52,george,2018
History,,,1.74%,54,george,2018
Other,,,,,george,2018
TOTAL (should = 100%),100.00%,0.00%,100.00%,,george,2018
Agriculture,,,,1,dartmouth,2018
Natural resources and conservation,,,3%,3,dartmouth,2018
Architecture,,,,4,dartmouth,2018
"Area, ethnic, and gender studies",,,4%,5,dartmouth,2018
Communication/journalism,,,,9,dartmouth,2018
Communication technologies,,,,10,dartmouth,2018
Computer and information sciences,,,7%,11,dartmouth,2018
Personal and culinary services,,,,12,dartmouth,2018
Education,,,,13,dartmouth,2018
Engineering,,,8%,14,dartmouth,2018
Engineering technologies,,,,15,dartmouth,2018
"Foreign languages, literatures, and linguistics",,,4%,16,dartmouth,2018
Family and consumer sciences,,,,19,dartmouth,2018
Law/legal studies,,,,22,dartmouth,2018
English,,,3%,23,dartmouth,2018
Liberal arts/general studies,,,,24,dartmouth,2018
Library science,,,,25,dartmouth,2018
Biological/life sciences,,,8%,26,dartmouth,2018
Mathematics and statistics,,,4%,27,dartmouth,2018
Military science and military technologies,,,,28 & 29,dartmouth,2018
Interdisciplinary studies,,,3%,30,dartmouth,2018
Parks and recreation,,,,31,dartmouth,2018
Philosophy and religious studies,,,3%,38,dartmouth,2018
Theology and religious vocations,,,,39,dartmouth,2018
Physical sciences,,,5%,40,dartmouth,2018
Science technologies,,,,41,dartmouth,2018
Psychology,,,4%,42,dartmouth,2018
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,dartmouth,2018
Public administration and social services,,,,44,dartmouth,2018
Social sciences,,,34%,45,dartmouth,2018
Construction trades,,,,46,dartmouth,2018
Mechanic and repair technologies,,,,47,dartmouth,2018
Precision production,,,,48,dartmouth,2018
Transportation and materials moving,,,,49,dartmouth,2018
Visual and performing arts,,,5%,50,dartmouth,2018
Health professions and related programs,,,,51,dartmouth,2018
Business/marketing,,,,52,dartmouth,2018
History,,,5%,54,dartmouth,2018
Other,,,,,dartmouth,2018
TOTAL (should = 100%),0.00%,0.00%,100.00%,,dartmouth,2018
Agriculture,,,,1,caltech,2018
Natural resources and conservation,,,,3,caltech,2018
Architecture,,,,4,caltech,2018
"Area, ethnic, and gender studies",,,,5,caltech,2018
Communication/journalism,,,,9,caltech,2018
Communication technologies,,,,10,caltech,2018
Computer and information sciences,,,25%,11,caltech,2018
Personal and culinary services,,,,12,caltech,2018
Education,,,,13,caltech,2018
Engineering,,,37%,14,caltech,2018
Engineering technologies,,,,15,caltech,2018
"Foreign languages, literatures, and linguistics",,,,16,caltech,2018
Family and consumer sciences,,,,19,caltech,2018
Law/legal studies,,,,22,caltech,2018
English,,,,23,caltech,2018
Liberal arts/general studies,,,,24,caltech,2018
Library science,,,,25,caltech,2018
Biological/life sciences,,,5%,26,caltech,2018
Mathematics and statistics,,,5%,27,caltech,2018
Military science and military technologies,,,,28 & 29,caltech,2018
Interdisciplinary studies,,,,30,caltech,2018
Parks and recreation,,,,31,caltech,2018
Philosophy and religious studies,,,,38,caltech,2018
Theology and religious vocations,,,,39,caltech,2018
Physical sciences,,,26%,40,caltech,2018
Science technologies,,,,41,caltech,2018
Psychology,,,,42,caltech,2018
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,caltech,2018
Public administration and social services,,,,44,caltech,2018
Social sciences,,,1%,45,caltech,2018
Construction trades,,,,46,caltech,2018
Mechanic and repair technologies,,,,47,caltech,2018
Precision production,,,,48,caltech,2018
Transportation and materials moving,,,,49,caltech,2018
Visual and performing arts,,,,50,caltech,2018
Health professions and related programs,,,,51,caltech,2018
Business/marketing,,,1%,52,caltech,2018
History,,,,54,caltech,2018
Other,,,,,caltech,2018
TOTAL (should = 100%),0.00%,0.00%,100.00%,,caltech,2018
Agriculture,,,0.58%,1,asu,2018
Natural resources and conservation,,,2.37%,3,asu,2018
Architecture,,,0.12%,4,asu,2018
"Area, ethnic, and gender studies",,,0.19%,5,asu,2018
Communication/journalism,,,7.79%,9,asu,2018
Communication technologies,,,0.00%,10,asu,2018
Computer and information sciences,,,1.53%,11,asu,2018
Personal and culinary services,,,0.00%,12,asu,2018
Education,,,9.17%,13,asu,2018
Engineering,,,0.00%,14,asu,2018
Engineering technologies,,,0.94%,15,asu,2018
"Foreign languages, literatures, and linguistics",,,0.92%,16,asu,2018
Family and consumer sciences,,,1.48%,19,asu,2018
Law/legal studies,,,0.00%,22,asu,2018
English,,,1.98%,23,asu,2018
Liberal arts/general studies,,,0.56%,24,asu,2018
Library science,,,0.00%,25,asu,2018
Biological/life sciences,,,4.02%,26,asu,2018
Mathematics and statistics,,,0.70%,27,asu,2018
Military science and military technologies,,,0.00%,28 & 29,asu,2018
Interdisciplinary studies,,,0.70%,30,asu,2018
Parks and recreation,,,7.26%,31,asu,2018
Philosophy and religious studies,,,0.53%,38,asu,2018
Theology and religious vocations,,,0.00%,39,asu,2018
Physical sciences,,,1.98%,40,asu,2018
Science technologies,,,0.00%,41,asu,2018
Psychology,,,5.62%,42,asu,2018
"Homeland Security, law enforcement, firefighting, and
protective services",,,3.34%,43,asu,2018
Public administration and social services,,,2.03%,44,asu,2018
Social sciences,,,6.85%,45,asu,2018
Construction trades,,,0.00%,46,asu,2018
Mechanic and repair technologies,,,0.00%,47,asu,2018
Precision production,,,0.00%,48,asu,2018
Transportation and materials moving,,,0.00%,49,asu,2018
Visual and performing arts,,,6.08%,50,asu,2018
Health professions and related programs,,,11.64%,51,asu,2018
Business/marketing,,,20.60%,52,asu,2018
History,,,0.99%,54,asu,2018
Other,,,,,asu,2018
TOTAL (should = 100%),0.00%,0.00%,100.00%,,asu,2018
Agriculture,,,0.0%,1,umich,2018
Natural resources and conservation,,,1.2%,3,umich,2018
Architecture,,,0.6%,4,umich,2018
"Area, ethnic, and gender studies",,,1.2%,5,umich,2018
Communication/journalism,,,3.3%,9,umich,2018
Communication technologies,,,0.0%,10,umich,2018
Computer and information sciences,,,10.7%,11,umich,2018
Personal and culinary services,,,0.0%,12,umich,2018
Education,,,0.9%,13,umich,2018
Engineering,,,15.9%,14,umich,2018
Engineering technologies,,,0.0%,15,umich,2018
"Foreign languages, literatures, and linguistics",,,2.1%,16,umich,2018
Family and consumer sciences,,,0.0%,19,umich,2018
Law/legal studies,,,0.0%,22,umich,2018
English,,,2.0%,23,umich,2018
Liberal arts/general studies,,,0.8%,24,umich,2018
Library science,,,0.0%,25,umich,2018
Biological/life sciences,,,9.2%,26,umich,2018
Mathematics and statistics,,,2.8%,27,umich,2018
Military science and military technologies,,,0.0%,28 & 29,umich,2018
Interdisciplinary studies,,,3.9%,30,umich,2018
Parks and recreation,,,3.7%,31,umich,2018
Philosophy and religious studies,,,0.4%,38,umich,2018
Theology and religious vocations,,,0.0%,39,umich,2018
Physical sciences,,,1.8%,40,umich,2018
