Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Agriculture,,,,1,george,2020
Natural resources and conservation,,,,3,george,2020
Architecture,,,,4,george,2020
"Area, ethnic, and gender studies",,,2.4%,5,george,2020
Communication/journalism,,,,9,george,2020
Communication technologies,,,,10,george,2020
Computer and information sciences,,,2.4%,11,george,2020
Personal and culinary services,,,,12,george,2020
Education,,,,13,george,2020
Engineering,,,,14,george,2020
Engineering technologies,,,,15,george,2020
"Foreign languages, literatures, and linguistics",,,4.3%,16,george,2020
Family and consumer sciences,,,,19,george,2020
Law/legal studies,,,,22,george,2020
English,,,3.7%,23,george,2020
Liberal arts/general studies,,,1.2%,24,george,2020
Library science,,,,25,george,2020
Biological/life sciences,,,4.5%,26,george,2020
Mathematics and statistics,,,2.9%,27,george,2020
Military science and military technologies,,,,28 & 29,george,2020
Interdisciplinary studies,,,5.8%,30,george,2020
Parks and recreation,,,,31,george,2020
Philosophy and religious studies,,,1.3%,38,george,2020
Theology and religious vocations,,,,39,george,2020
Physical sciences,,,0.9%,40,george,2020
Science technologies,,,,41,george,2020
Psychology,,,4.4%,42,george,2020
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,george,2020
Public administration and social services,,,,44,george,2020
Social sciences,,,34.3%,45,george,2020
Construction trades,,,,46,george,2020
Mechanic and repair technologies,,,,47,george,2020
Precision production,,,,48,george,2020
Transportation and materials moving,,,,49,george,2020
Visual and performing arts,,,1.3%,50,george,2020
Health professions and related programs,100.0%,,3.7%,51,george,2020
Business/marketing,,,25.4%,52,george,2020
History,,,1.5%,54,george,2020
Other,,,,,george,2020
TOTAL (should = 100%),100.00%,0.00%,100.00%,,george,2020
Agriculture,,,,01,dartmouth,2020
Natural resources and conservation,,,3%,03,dartmouth,2020
Architecture,,,,04,dartmouth,2020
"Area, ethnic, and gender studies",,,5%,05,dartmouth,2020
Communication/journalism,,,,09,dartmouth,2020
Communication technologies,,,,10,dartmouth,2020
Computer and information sciences,,,8%,11,dartmouth,2020
Personal and culinary services,,,,12,dartmouth,2020
Education,,,,13,dartmouth,2020
Engineering,,,9%,14,dartmouth,2020
Engineering technologies,,,,15,dartmouth,2020
"Foreign languages, literatures, and linguistics",,,2%,16,dartmouth,2020
Family and consumer sciences,,,,19,dartmouth,2020
Law/legal studies,,,,22,dartmouth,2020
English,,,3%,23,dartmouth,2020
Liberal arts/general studies,,,,24,dartmouth,2020
Library science,,,,25,dartmouth,2020
Biological/life sciences,,,8%,26,dartmouth,2020
Mathematics and statistics,,,7%,27,dartmouth,2020
Military science and military technologies,,,,28 & 29,dartmouth,2020
Interdisciplinary studies,,,2%,30,dartmouth,2020
Parks and recreation,,,,31,dartmouth,2020
Philosophy and religious studies,,,2%,38,dartmouth,2020
