Category,Bachelor's,CIP Code
Agriculture,0.0%,1
Natural resources and conservation,1.3%,3
Architecture,0.8%,4
"Area, ethnic, and gender studies",1.3%,5
Communication/journalism,3.3%,9
Communication technologies,0.0%,10
Computer and information sciences,8.6%,11
Personal and culinary services,0.0%,12
Education,1.0%,13
Engineering,17.1%,14
Engineering technologies,0.0%,15
"Foreign languages, literatures, and linguistics",2.4%,16
Family and consumer sciences,0.0%,19
Law/legal studies,0.0%,22
English,2.3%,23
Liberal arts/general studies,1.2%,24
Library science,0.0%,25
Biological/life sciences,9.4%,26
Mathematics and statistics,3.2%,27
Military science and military technologies,0.0%,28 & 29
Interdisciplinary studies,3.3%,30
Parks and recreation,3.7%,31
Philosophy and religious studies,0.3%,38
Theology and religious vocations,0.0%,39
Physical sciences,1.7%,40
Science technologies,0.0%,41
Psychology,9.6%,42
"Homeland Security, law enforcement, firefighting, and protective services",0.0%,43
Public administration and social services,1.0%,44
Social sciences,11.2%,45
Construction trades,0.0%,46
Mechanic and repair technologies,0.0%,47
Precision production,0.0%,48
Transportation and materials moving,0.0%,49
Visual and performing arts,5.3%,50
Health professions and related programs,3.0%,51
Business/marketing,7.6%,52
History,1.2%,54
Other,0.0%,
TOTAL,100%,
