Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,1%,,3%,1
Natural resources and conservation,,,0%,3
Architecture,,,1%,4
"Area, ethnic, and gender studies",,,0%,5
Communication/journalism,,,8%,9
Communication technologies,,,,10
Computer and information sciences,0%,,2%,11
Personal and culinary services,,,,12
Education,35%,,3%,13
Engineering,0%,,11%,14
Engineering technologies,7%,,,15
"Foreign languages, literatures, and linguistics",,,1%,16
Family and consumer sciences,25%,,5%,19
Law/legal studies,,,,22
English,5%,,1%,23
Liberal arts/general studies,0%,,2%,24
Library science,,,,25
Biological/life sciences,1%,,6%,26
Mathematics and statistics,,,1%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,3%,,1%,30
Parks and recreation,,,3%,31
Philosophy and religious studies,,,0%,38
Theology and religious vocations,,,,39
Physical sciences,,,2%,40
Science technologies,,,,41
Psychology,,,7%,42
"Homeland Security, law enforcement, firefighting, and
protective services",0%,,3%,43
Public administration and social services,,,0%,44
Social sciences,,,10%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,1%,50
Health professions and related programs,2%,,7%,51
Business/marketing,18%,,21%,52
History,,,1%,54
Other,,,,
TOTAL (should = 100%),100%,0.00%,100%,
